Dimension1,Dimension2
-18.01697,0.044784825
-17.95235,0.12978014
-17.858269,-0.19666733
-17.761465,-0.25929862
-17.700512,0.28676814
-17.570986,-0.30743968
-17.502901,0.31077105
-17.397558,0.30607718
-17.283733,-0.30242816
-17.179203,0.26655996
-17.076069,-0.27952856
-16.946516,0.2597497
-16.824213,0.25989538
-16.712519,-0.21093954
-16.574677,-0.16984591
-16.432802,-0.112546206
-16.29379,0.20417467
-16.145254,0.17710975
-15.994417,-0.118657954
-15.838701,-0.09409676
-15.676766,0.095549606
-15.5094385,0.024329603
-15.337191,-0.029547833
-15.163682,0.004572471
-14.98502,0.001188899
-14.801791,-0.002038985
-14.617286,-0.0038887537
-14.429086,-0.006107469
-14.2403965,-0.0069074775
-14.051327,-0.008389383
-13.862397,-0.0114460485
-13.662894,-0.012783349
-13.465908,-0.013757656
-13.274461,-0.015703695
-13.0747795,-0.017286384
-12.881382,-0.018623892
-12.682801,-0.02089603
-12.485097,-0.02224137
-12.292085,-0.02368447
-12.098815,-0.025350118
-11.907017,-0.027094645
-11.70979,-0.028735148
-11.514491,-0.029991394
-11.318954,-0.031418357
-11.120047,-0.03292767
-10.922178,-0.034619708
-10.73009,-0.036045022
-10.532716,-0.037397902
-10.33587,-0.038735665
-10.140793,-0.040074915
-9.945911,-0.04116966
-9.745216,-0.04244162
-9.556695,-0.043867078
-9.361602,-0.04551312
-9.16139,-0.046307873
-8.96597,-0.047469668
-8.768617,-0.048669677
-8.580952,-0.04980967
-8.3784895,-0.05095493
-8.184269,-0.05195574
-7.9885874,-0.05304265
-7.7899246,-0.05409043
-7.5921464,-0.05525921
-7.4059057,-0.056023397
-7.2081857,-0.05682823
-7.004579,-0.058046557
-6.8099136,-0.05854771
-6.613345,-0.059887253
-6.416775,-0.0600148
-6.2293363,-0.061108768
-6.035812,-0.062226705
-5.8261256,-0.06263802
-5.6389246,-0.06319551
-5.443125,-0.06382525
-5.251559,-0.06454973
-5.0553017,-0.06520957
-4.8593183,-0.065721296
-4.659013,-0.066219784
-4.461531,-0.066703215
-4.266168,-0.067024164
-4.0733895,-0.06767141
-3.8768857,-0.06817802
-3.676579,-0.06839458
-3.4872034,-0.06879123
-3.2882085,-0.068964735
-3.0881014,-0.06926393
-2.9006593,-0.06950073
-2.7061222,-0.069715135
-2.5013306,-0.069928594
-2.3063874,-0.070008494
-2.1104307,-0.07004982
-1.9191451,-0.070157945
-1.7230271,-0.07013022
-1.5280498,-0.07012398
-1.3286577,-0.07012232
-1.1317831,-0.069970734
-0.93574154,-0.069829084
-0.74542177,-0.06968093
-0.54766315,-0.069470406
-0.35067078,-0.069250084
-0.15400718,-0.068973824
0.042757362,-0.06864403
0.23872049,-0.068428725
0.4362174,-0.06793508
0.6282521,-0.06739672
0.83495235,-0.06724842
1.0258206,-0.066689864
1.2220802,-0.06616108
1.4175242,-0.06579431
1.6105436,-0.06499916
1.8073994,-0.06463305
2.0045228,-0.063783094
2.2032807,-0.063236706
2.3996053,-0.06253132
2.5888186,-0.061991513
2.7854695,-0.060858294
2.9855127,-0.06041258
3.1793075,-0.05974514
3.3764825,-0.05882056
3.5769327,-0.057878
3.766381,-0.057015523
3.962055,-0.05599453
4.1602936,-0.05525092
4.3563557,-0.0543635
4.5510044,-0.0534229
4.751453,-0.052268934
4.945086,-0.051240284
5.1390324,-0.050406475
5.330699,-0.049051613
5.5331078,-0.04829895
5.732165,-0.047072563
5.9198604,-0.046017673
6.1211157,-0.044886168
6.316575,-0.043680348
6.5129495,-0.04263009
6.70897,-0.04152924
6.9145346,-0.03973323
7.0936675,-0.03926315
7.2888722,-0.03771146
7.49385,-0.036261126
7.684764,-0.03514198
7.8817186,-0.034217075
8.072029,-0.032827616
8.267489,-0.03127087
8.462924,-0.03014476
8.656894,-0.029047169
8.858979,-0.027511088
9.053545,-0.02623236
9.24694,-0.024750762
9.439562,-0.023894107
9.640436,-0.022240376
9.833591,-0.021066843
10.029725,-0.019871464
10.225079,-0.018418087
10.419013,-0.01710154
10.614331,-0.01577459
10.81732,-0.014152865
11.011922,-0.012940332
11.20528,-0.011913901
11.399773,-0.010206398
11.593455,-0.00882394
11.789365,-0.0077819116
11.9810295,-0.005753381
12.182038,-0.005094703
12.376472,-0.0033014077
12.570208,-0.0021433213
12.769048,-0.0010641272
12.963287,0.00040147727
13.1586075,0.0018746456
13.351862,0.0039654835
13.54733,0.0043171165
13.735246,0.005778159
13.925441,0.007571776
14.115112,0.008486129
14.299048,0.011999461
14.480594,0.014298639
14.658852,0.009788466
14.8312645,-0.026250595
15.001503,0.04531533
15.166639,0.11137169
15.328738,-0.08347127
15.486159,-0.10668273
15.637383,0.16833903
15.784983,0.19426183
15.927494,-0.15473634
16.067831,-0.19114408
16.19117,0.22489023
16.33007,-0.2427872
16.44169,0.24847709
16.56248,0.28603193
16.678272,0.31578124
16.768072,-0.27835464
16.873835,-0.27993956
16.979176,-0.27634302
17.07563,0.34773317
17.166172,0.334858
17.276367,-0.20356241
17.3684,-0.13308711
17.426567,0.19785118
17.505108,0.063930035
